1567441-4826 	 munkaterület
2221755-1231 	 vízumkölcsönösség
2221781-08 	 együttműködési@megállapodás@Afganisztánnal
2221874-10, 1006 	 mezőgazdasági@magas@szintű@munkacsoport
2221890-1006 	 Az@ST@9999/99@INIT@dokumentumon@fel@kell@tüntetni@az@elosztásra@vonatkozó@„@LIMITE@”@megjelölést@.
2221891-1006 	 Megjegyzés@:@Ez@a@megbeszélés@érint@CONFIDENTIEL@UE@vagy@SECRET@UE@minősítésű@napirendi@pontokat@.@A@Tanács@biztonsági@szabályzatával@összhangban@az@ülésen@részt@vevő@valamennyi@küldöttnek@rendelkeznie@kell@érvényes@biztonsági@tanúsítvánnyal@.@Az@ülést@megelőzően@kérje@saját@nemzetbiztonsági@hivatalát@,@hogy@tájékoztassa@a@Tanács@Főtitkárságának@Biztonsági@Hivatalát@(@securite.habilitations@consilium.europa.eu@)@az@Ön@biztonsági@tanúsítványának@szintjéről@,@érvényességi@idejéről@(@amennyiben@ezeket@az@adatokat@a@Hivatalhoz@még@nem@juttatták@el@)@,@vagy@kivételes@esetben@az@ülésen@vagy@azt@megelőzően@Ön@mutassa@be@a@saját@nemzetbiztonsági@hivatala@által@kiállított@személyi@biztonsági@tanúsítványát@.@Azon@küldöttek@,@akik@nem@tudják@igazolni@,@hogy@rendelkeznek@érvényes@biztonsági@tanúsítvánnyal@,@nem@vehetnek@részt@az@érintett@napirendi@pont@tárgyalásán@.
2221976-2021 	 vám-@és@kvótamentes@piaci@hozzáférés
2221978-1006 	 Kommunikációs@Főigazgatóság
2221987-1006 	 Vállalkozáspolitikai@és@Ipari@Főigazgatóság
2221996-1006 	 Tolmácsolási@Főigazgatóság
2221997-1006, 5606 	 Mezőgazdasági@és@Vidékfejlesztési@Főigazgatóság
2222002-1006 	 Belső@Piaci@és@Szolgáltatási@Főigazgatóság
2222004-1006, 2826, 4406 	 Foglalkoztatási@,@Szociális@és@Esélyegyenlőségi@Főigazgatóság
2222008-2811 	 a@földközi-tengeri@tranzitmigrációról@folytatott@párbeszéd
2222010-1006, 48 	 közlekedési@biztos
2222018-1006, 52 	 környezetvédelmi@biztos
2222019-1006, 16, 24 	 a@gazdasági@ügyekért@,@a@monetáris@politikáért@és@az@euróért@felelős@biztos
2222022-1006, 1016, 1616 	 a@regionális@politikáért@felelős@biztos
2222023-1006 	 tengerügyi@és@halászati@biztos
2222025-1006, 2436 	 a@pénzügyi@programozásért@és@a@költségvetésért@felelős@biztos
2222034-1006, 4031 	 versenypolitikai@biztos
2222036-1006, 56 	 mezőgazdasági@és@vidékfejlesztési@biztos
2222038-1006 	 a@belső@piacért@és@a@szolgáltatásokért@felelős@biztos
2222040-1006, 66 	 energiaügyi@biztos
2222046-52 	 személyi@számla
2222051-2011 	 egyszerűsített@vasúti@árutovábbítási@eljárás
2222052-1621 	 körkörös@gazdaság
2222079-5216 	 környezeti@elemek@közötti@kölcsönhatások
2222107-1016, 1216 	 európai@korrupcióellenes@hálózat
2222109-2031, 2421 	 időszakos@aukciós@kereskedési@rendszer
2222110-20, 24 	 folyamatos@aukciós@ajánlati@könyves@kereskedési@rendszer
2222111-20, 2421 	 árjegyzésvezérelt@kereskedési@rendszer
2222113-1216, 2416, 76 	 a@pénzmosás@és@a@terrorizmusfinanszírozás@elleni@küzdelem
2222235-1006, 5216, 6811 	 fellebbezési@tanács
2222249-3206 	 a@harmadik@országokkal@történő@együttműködésen@keresztül@a@felsőoktatás@minőségének@javítására@és@az@interkulturális@megértés@előmozdítására@irányuló@program
2222268-6411 	 zapper@box
2222345-1226, 7606 	 A@volt@Jugoszlávia@területén@elkövetett@,@a@nemzetközi@humanitárius@jogot@súlyosan@sértő@bűncselekmények@megbüntetésére@létrehozott@nemzetközi@törvényszék@(@ICTY@)@helyettes@főügyésze
2222353-28, 2811 	 bevándorlási@engedély
2222354-24 	 Magyar@Államkincstár
2222378-2446 	 közös@összevont@társaságiadó-alap
2222407-1016, 4806 	 Fehér@könyv@–@Európai@közlekedéspolitika@2010-ig@:@ideje@dönteni
2222726-1016 	 belső@piaci@információs@rendszer
2222812-0806, 2831 	 a@kulturális@kifejezések@sokszínűségének@védelméről@és@előmozdításáról@szóló@egyezmény
2222817-2841 	 feltételezett@,@nem@várt@súlyos@mellékhatás
2222858-1021, 4026 	 megalapozott@bizonyosság
2222890-10, 66 	 energiahatékonysági@cselekvési@terv
2222924-04, 0421, 10 	 EU@–@Románia
2222968-04, 0421, 10 	 EU@–@Bulgária
2222994-2841, 7611 	 Európai@Regionális@és@Helyi@Egészségügyi@Hatóságok@Hálózata
2223032-1006, 2831, 3206 	 Oktatási@,@Audiovizuális@és@Kulturális@Végrehajtó@Ügynökség
2223058-1011 	 átültető@intézkedések@közlésének@elmulasztása
2223059-0421, 1006 	 az@Equitable@Life@Assurance@Society@biztosítótársaság@összeomlásával@foglalkozó@vizsgálóbizottság
2223233-1221, 1226 	 felülvizsgálati@bíróság
2223234-12 	 határozott@időtartamra@alkotott@jogszabály
2223235-12 	 gyors@befagyasztási@eljárás
2223236-12 	 a@közlés@bizalmasságához@fűződő@alapvető@jog
2223252-08, 10, 1236 	 a@külső@határok@átlépésére@jogosító@,@vízummal@ellátható@úti@okmányok@táblázata
2223254-0421, 1006 	 Délkelet-Európa
2223265-24 	 lakossági@pénzügyi@termék
2223280-08 	 Magyar@Érdekvédelmi@Szövetség
2223286-5631 	 állattartó
2223289-6811 	 replikátum
2223293-2011, 2021, 6006 	 engedélyes@mérlegelő
2223303-5631, 7621 	 víziállat-egészségügyi@szabványokkal@foglalkozó@bizottság
2223324-1611 	 3%-os@cselekvési@terv
2223338-1226, 7606 	 a@Ruandai@Nemzetközi@Törvényszék@főügyésze
2223339-1016 	 az@Afrikára@vonatkozó@uniós@stratégia
2223352-0821, 7616 	 a@Közép-afrikai@Gazdasági@és@Monetáris@Közösség@többnemzetiségű@hadereje
2223353-0816 	 megerősített@biztonsági@párbeszéd
2223357-1006, 2841 	 PHEA
2223359-52 	 zöld@diplomáciai@hálózat
2223360-28, 76 	 WBU
2223405-0821, 1016 	 ajánlattételi@eljárás
2223471-08 	 regionális@védelmi@program
2223473-1006, 1016 	 az@egységes@piac@megfigyelőközpontja
2223481-7616, 7621 	 CSME
2223488-3606 	 oltóág
2223489-10, 1006 	 Ipari@Változások@Tanácsadó@Testülete
2223507-2031, 4031 	 érintett@termékpiac
2223599-4006 	 gazella@vállalkozás
2223602-0816, 1016 	 a@moldovai-ukrán@határellenőrzést@segítő@európai@uniós@misszió
2223623-0421, 1006 	 Maghreb
2223661-5641 	 bérhorgászati@terület
2223677-0421, 1006 	 Perzsa-öböl@menti@államok@,@Jemen
2223683-0421, 1006 	 Dél-Ázsia@,@SAARC
2223732-1231 	 igazságos@és@méltányos@bánásmód
2223751-12, 2446, 48 	 gépjárműadó@törvény
2223752-0436 	 Informatikai@és@Hirközlési@Minisztérium
2223753-08, 1016 	 az@Európai@Unió@afganisztáni@különleges@képviselőjének@hivatala
2223768-52 	 kibocsátási@pálya
2223807-52 	 szén@-@dioxid@-@piac
2223811-2036, 6411, 6621, 6826 	 felhasználóoldali@válasz
2223881-2846 	 Magyar@Építőművészek@Szövetsége
2223893-1021, 52 	 környezetvédelmi@pénzügyi@eszköz
2223901-0806, 2806 	 Egyezmény@az@anyaság@védelméről@,@2000
2223914-10, 1006 	 Munkaadók@csoportja
2223936-10, 1006 	 Munkavállalók@csoportja
2223967-0811 	 kereskedelemösztönző@támogatás
2224031-1016 	 Európai@Közügyi@Tanácsadók@Szövetsége
2224032-1606, 3231, 5206 	 térinformatikai@szolgáltatások
2224033-3231, 72 	 térbeli@adatok@témaköre
2224037-1236, 6416 	 személyiségi@jogok
2224038-0821, 1016, 4826, 7621 	 Stratégiai@Légi@Szállítás@Átmeneti@Megoldása
2224040-1606, 5206 	 térkezelés
2224041-5631, 6026 	 korábbi@élelmiszer
2224042-1216 	 magánszemély@általi@jogszerű@elfogás
2224051-3226 	 nyilvánosan@elérhető@elektronikus@hírközlési@szolgáltatások
2224053-3226 	 hírközlési@szolgáltató
2224054-1011 	 vitaanyag
2224066-1211, 3231 	 közjogi@adatszolgáltatók
2224067-5216 	 ember@okozta@terhelés@alatt@álló@területek
2224071-4021 	 lépcsőzetes@megvalósítás
2224121-52, 66 	 szénátszivárogtatás
2224125-0811 	 európai@konszenzus@a@fejlesztési@politikáról
2224160-6411 	 négyszögöl
2224212-2811 	 agyáramlás
2224220-1021, 16, 1616, 24 	 mikro-@,@kis-@és@középvállalkozásokat@támogató@közös@európai@források
2224239-08 	 szomszédságpolitikában@részt@vevő@ország
2224246-10, 1006 	 „@Közlekedés@,@energia@,@infrastruktúra@és@információs@társadalom@”@szekció
2224256-0426, 1011 	 tematikus@stratégiai@dokumentum
2224271-10, 1006 	 „@Gazdasági@és@monetáris@unió@,@gazdasági@és@társadalmi@kohézió@”@szekció
2224273-2811, 2826 	 agyvesztés
2224274-10, 1006 	 „@Egységes@piac@,@termelés@és@fogyasztás@”@szekció
2224275-10, 1006 	 „@Foglalkoztatás-@és@szociálpolitika@,@uniós@polgárság@”@szekció
2224278-10, 1006 	 „@Mezőgazdaság@,@vidékfejlesztés@és@környezetvédelem@”@szekció
2224281-10, 1006 	 Sokféleség@Európája
2224289-10 	 európai@bűnügyi@hírszerzési@modell
2224299-0416 	 többség
2224322-2416 	 készpénzjellegű@instrumentum
2224324-1016, 1236, 2826 	 A@nők@és@férfiak@közötti@egyenlőségre@vonatkozó@ütemterv@2006-2010
2224329-28, 2826, 4411 	 nemi@szegregáció
2224380-1611 	 tematikus@program
2224389-0436, 10 	 magas@szintű@nemzeti@szabályozási@szakértői@csoport
2224401-5206, 5621 	 területgazdálkodás
2224412-2426, 4011 	 zöldmezős@beruházás
2224420-6621, 6826 	 nagy@intenzitású@kisülőlámpa
2224439-3221, 3236 	 Európai@Digitális@Könyvtár
2224450-1021, 1616 	 európai@régiók@beruházásait@támogató@közös@program
2224463-0431, 0806, 7606 	 hiogói@cselekvési@keret
2224483-5206, 68 	 helyszíni@tisztítás
2224488-0806, 1221 	 Egyezmény@a@polgári@és@kereskedelmi@ügyekben@a@joghatóságról@,@valamint@a@határozatok@elismeréséről@és@végrehajtásáról
2224495-3206 	 képességek@igazolása
2224500-5631 	 vadon@élő@vadszárnyas
2224503-3206 	 kreditátviteli@rendszer@a@szakoktatásban@és@-képzésben
2224510-3206 	 tanulássegítő
2224513-3206 	 igazoló@szerv
2224552-1226, 7606 	 a@Ruandai@Nemzetközi@Törvényszék@helyettes@főügyésze
2224566-10, 36, 64 	 űrpolitikával@foglalkozó@magas@szintű@csoport
2224567-28 	 nemzetközi@védőoltási@pénzügyi@mechanizmus
2224620-16, 20 	 közös@piac
2224634-08, 0821 	 a@misszió@biztonsági@tisztje
2224638-0821 	 a@személyi@állomány@mentése
2224640-10, 1006 	 „@Külkapcsolatok@”@szekció
2224687-20 	 a@globalizáció@előnyünkre@fordítása
2224750-3236 	 célhozkötöttség@elve
2224754-10, 28 	 a@nemek@közötti@egyenlőségről@szóló@európai@paktum
2224755-1016, 66 	 európai@energiapolitika
2224770-2841 	 angiotenzin@-@receptor@-@gátló
2224781-7606 	 Közgyűlési@és@Konferenciaszolgáltatások@Főosztálya
2224784-1231, 2811 	 vízumkérelem
2224789-0811, 7606 	 Központi@Szükséghelyzeti@Válaszalap
2224792-10, 5606 	 Oltalom@Alatt@Álló@Földrajzi@Jelzések@és@Eredetmegjelölések@Állandó@Bizottsága
2224803-10, 1006, 56 	 növényegészségügyi@tudományos@testület
2224808-3606, 52 	 űridőjárás
2224829-2426 	 kereskedelmi@értékesítés
2224840-7606 	 elnöki@nyilatkozat
2224841-1006 	 kirendeltség
2224842-04, 12 	 közérdeken@alapuló@kényszerítő@indok
2224874-16, 1631 	 nagy@jóságfokú@variációs@együttható
2224973-1016, 2811 	 szakpolitikai@terv@a@legális@migrációról
2224979-10, 1006 	 pénzügyi@szolgáltatásokkal@foglalkozó@munkacsoport@(@pénzügyi@szolgáltatások@)
2224980-10, 1006 	 pénzügyi@szolgáltatásokkal@foglalkozó@munkacsoport@(@átutalások@)
2224981-10, 1006 	 információcserével@foglalkozó@és@adatvédelmi@munkacsoport
2224984-10, 1006 	 társasági@joggal@foglalkozó@munkacsoport@(@részvényesi@jogok@)
2225007-08, 1006, 3606, 6621 	 Fúziósenergia-fejlesztési@és@ITER@Európai@Közös@Vállalkozás
2225017-04, 1016 	 Zöld@Könyv@-@Európai@átláthatósági@kezdeményezés
2225024-0816, 6621 	 kis@mennyiségekre@vonatkozó@jegyzőkönyv
2225062-0426, 1006 	 Küldöttségi@Elnökök@Értekezlete
2225085-0426, 1006 	 bizottsági@eljárás
2225108-76, 7611 	 nemzeti@áldozatkezelési@mechanizmus
2225111-0426, 1006 	 plenáris@szakasz
2225121-1006, 1011 	 közös@szövegtervezet
2225128-6811 	 szerves@foszforvegyület
2225133-0421, 10, 2441 	 a@Parlament@költségvetési@javaslata
2225190-10, 1006, 1016 	 CdT
2225192-0436 	 a@jó@ajtón@való@kopogtatás@szavatolása
2225727-0421, 10, 1216 	 A@Parlament@tájékoztatása@a@büntetőügyekben@folytatott@rendőrségi@és@igazságügyi@együttműködés@terén
2225728-0421, 10, 1216 	 Konzultáció@a@Parlamenttel@a@büntetőügyekben@folytatott@rendőrségi@és@igazságügyi@együttműködés@terén
2225729-0421, 10, 1216 	 Ajánlások@a@büntetőügyekben@folytatott@rendőrségi@és@igazságügyi@együttműködés@terén
2226002-2416 	 kiegyenlítési@eljárás
2226015-2426 	 túlfedezet
2226050-2416 	 tőketartalék@felszabadítása
2226084-2416 	 felügyeleti@felülvizsgálat
2226087-2426 	 tulajdonviszonyt@megtestesítőnek@nem@minősülő@értékpapír
2227777-2021, 4031 	 jelentős@kár
2227783-0426, 1006 	 bizalmatlansági@indítvány
2227789-1021 	 kötet
2227898-0426, 1006 	 ülés
2227926-5631, 5641 	 koi-herpeszvírusbetegség
2227935-1216 	 bizalmi@vásárlás
2227969-08, 7606, 7616 	 Nagy-tavak@Régió@Nemzetközi@Értekezlete
2227971-5211, 7606 	 a@Biológiai@Sokféleség@Világnapja
2227983-2841 	 szívkoszorúér-betegség
2228033-2446, 4031 	 fiskális@támogatás
2228049-5636 	 erdőterület
2228073-1006, 1016 	 intézkedési@programdokumentum
2228074-0806, 1016, 1216 	 Megállapodás@a@Nemzetközi@Büntetőbíróság@és@az@Európai@Unió@közötti@együttműködésről@és@segítségnyújtásról
2228077-2826, 3206 	 Europass@oklevélmelléklet
2228078-2826, 3206 	 Europass@idegennyelv-ismereti@dosszié
2228091-68 	 gázelosztó@központ
2228093-4826 	 „@Egységes@európai@égbolt@”@légiforgalmi@szolgáltatási@kutatás
2228094-0806, 0821 	 Fegyverkereskedelmi@Szerződés
2228134-72 	 Szocsi
2228136-1021, 5606 	 közös@monitoring-@és@értékelési@keret
2228161-1021, 24 	 kvázisajáttőke-befektetés
2228216-0811, 16, 24, 2406 	 külső@sokkhatások@elleni@könnyítési@mechanizmus
2228272-3206 	 Europass@bizonyítványkiegészítő
2228276-16, 28 	 fenntartható@városfejlesztési@beruházásokat@támogató@közös@európai@kezdeményezés
2228297-1011, 4031 	 engedékenységi@közlemény
2228319-28 	 Európai@Ifjúságpolitikai@Tudásközpont
2228335-3236 	 videoközvetítés
2228339-1221 	 schengeni@vívmányokon@alapuló@intézkedés
2228347-52, 64 	 visszatekintő@elemzés
2228359-0816, 1016 	 az@Egyesült@Nemzetek@Szervezete@Kongói@Demokratikus@Köztársaságbeli@Missziójának@(@MONUC@)@a@választási@folyamat@során@történő@támogatására@irányuló@európai@uniós@katonai@művelet
2228378-08 	 konfliktusérzékenység
2228385-08 	 befagyasztott@konfliktus
2228391-0821 	 telepíthető@uniós@műveleti@légibázis
2228410-10, 66 	 A@Bizottság@közleménye@–@A@jövő@energiája@:@megújuló@energiaforrások@–@Zöld@könyv@a@közösségi@stratégiáról
2228484-1011 	 jogszabályi@összehangolás
2228513-52 	 katasztrófareagálás
2228517-6811 	 nem@elkülönített@intermedier
2228518-10, 6416 	 szakterületi@bizottság
2228521-0821 	 hadszíntéri@légifénykép@feldolgozó@rendszer
2228537-2841 	 Nemzetközi@Őssejtközpont
2228545-0821, 1006 	 24@órás@ügyeleti@szolgálat@ellátásának@képessége
2228555-0821 	 védelmi@beszerzés
2228559-2441 	 pozitív@megbízhatósági@nyilatkozat
2228561-56 	 társfelelősségi@záradék
2228606-0811, 2426 	 nemzetközi@gyógyszervásárlási@mechanizmus
2228655-1011, 24 	 a@piaci@visszaélésekről@szóló@irányelv
2228657-3226, 3236, 64 	 tárgyak@internete
2228678-1216 	 bűnözés@elleni@küzdelem
2228682-3236, 3606 	 biometrikus@adat
2228684-1231, 2811 	 Uniós@Vízumkódex
2228711-0431, 3226 	 helymeghatározással@kibővített@segélyhívó@rendszer
2228725-2011, 2021, 4031 	 egyéni@dömpingkülönbözet
2228727-0806, 1016, 5641 	 az@Indiai-óceán@déli@részére@vonatkozó@halászati@megállapodás
2228731-1011, 1021 	 intézményközi@megállapodás
2228807-10, 1006 	 a@bővítéssel@és@az@EU-hoz@való@csatlakozásról@tárgyaló@országokkal@foglalkozó@munkacsoport
2228835-1236 	 európai@finanszírozási@eszköz@a@demokráciáért@és@az@emberi@jogokért
2228848-2841, 3606 	 fejlett@terápiás@gyógyszerkészítmény
2228899-10, 2811 	 a@migrációval@kapcsolatos@általános@megközelítés@:@az@Afrikára@és@a@Földközi-tengerre@összpontosuló@kiemelt@intézkedések
2228916-4826 	 európai@légiforgalmi@szolgáltatási@főterv
2228943-1021, 12 	 felhatalmazó@okirat
2228949-1021 	 költségvetés-végrehajtási@feladatok
2228952-1021 	 igazgatási@művelet
2228978-3226, 6416 	 audiovizuális@médiaszolgáltatás
2228981-2841 	 fertőző@betegség
2228982-2841 	 átvihető@betegség
2228983-2841 	 ragályos@betegség
2229002-2846, 7611 	 Európai@Városok@Tudáshálózata
2229009-6606 	 A@Bizottság@közleménye@–@A@jövő@energiája@:@megújuló@energiaforrások@–@Fehér@könyv@a@közösségi@stratégiáról@és@cselekvési@tervről
2229041-0811, 52, 66 	 AKCS@–@EU@energiaügyi@pénzügyi@mechanizmus
2229080-2451, 3226 	 mobil@hívásvégződtetési@díj
2229098-60, 6026 	 általános@élelmiszerjog
2229108-2416 	 előre@nem@rendelkezésre@bocsátott@hitelkockázati@fedezet
2229120-0806, 0821 	 n@’@djamenai@humanitárius@tűzszüneti@megállapodás
2229128-2811, 3236, 3606 	 biometrikus@rendszer
2229133-2416 	 EU-szintű@anyaintézmény
2229134-2416 	 tagállami@pénzügyi@holding@társaság@anyavállalat
2229135-2416 	 EU-szintű@pénzügyi@holding@társaság@anyavállalat
2229154-0436 	 Vidékfejlesztési@Minisztérium
2229169-2416 	 ügyfél-hitelkockázat
2229170-2416 	 hosszú@teljesítésű@ügylet
2229172-2416, 2421 	 értékpapírügylethez@kapcsolódó@hitel
2229173-2416 	 letéti@megállapodás
2229175-2416 	 biztosítéki@határérték
2229176-2416 	 biztosítéki@kockázati@periódus
2229177-5616, 5631 	 szabadtartásos@tojótyúk
2229179-5631 	 mesterségesen@törpésített@növény
2229180-2416 	 likviditási@keret
2229352-1006 	 ellenőrzéssel@történő@szabályozási@bizottsági@eljárás
2229358-5211 	 ökoszisztéma-szolgáltatás
2229361-1216 	 összbüntetés
2229362-1216 	 halmazati@büntetés
2229365-2811 	 gyorsreagálású@határvédelmi@csapat
2229370-1616, 56 	 Agrár-@és@Vidékfejlesztés@Operatív@Program
2229371-1616, 56 	 döntés-előkészítő@bizottság
2229375-10, 1006, 2446 	 a@közös@összevont@társaságiadó-alappal@foglalkozó@munkacsoport
2229379-1016, 2811 	 az@Európai@Unió@terve@az@emberkereskedelem@elleni@küzdelemre@és@annak@megelőzésére@vonatkozó@legjobb@gyakorlatokról@,@normákról@és@eljárásokról
2229396-5616 	 rosthozam
2229399-1016, 24 	 IPA-bizottság
2229406-28, 2811 	 utazó
2229411-2836 	 átvevő@intézmény
2229412-3236 	 a@személyes@adatok@szabad@áramlása
2229413-3236 	 interfészvezérlési@dokumentáció
2229422-6026 	 galakto-oligoszacharid
2229424-0431, 0806, 1216, 24 	 az@Európa@Tanács@pénzmosásról@,@a@bűncselekményből@származó@jövedelmek@felkutatásáról@,@lefoglalásáról@és@elkobzásáról@,@valamint@a@terrorizmus@finanszírozásáról@szóló@egyezménye
2229439-3236 	 webes@szüretelés
2229441-5206, 5606 	 jó@mezőgazdasági@és@környezeti@állapot
2229468-24, 40 	 felkutatási@költségek
2229470-12, 40 	 Antitröszt@Iktatási@Osztály
2229474-5611, 5636 	 agrárerdészeti@rendszer
2229480-1006, 1011 	 ellenőrzéssel@történő@szabályozási@bizottság
2229481-2416 	 egyszeri@fizetési@művelet
2229490-5636 	 tűzvédelmi@pászta
2229494-10, 2811 	 a@vízumkérelmeket@elbíráló@közös@központ
2229495-5631, 6811 	 helyettesítésre@jelölt@anyag
2229498-12, 1631, 2836 	 segítség@a@napi@feladatok@ellátásában
2229507-4826 	 jogosítás@kiterjesztés
2229509-04 	 a@döntéshozatal@alsóbb@szintjein@elhelyezkedőkkel@folytatott@konzultáció
2229511-5606, 5631 	 közös@állategészségügyi@beléptetési@okmány
2229537-16, 1631 	 vállalkozások
2229545-5641 	 halászati@terület
2229566-4826 	 körzeti@irányítás@légtérellenőrző@berendezéssel
2229569-28, 2821 	 gyermek@elcsábítása
2229574-0436, 16 	 globális@gazdasági@kormányzás
2229665-3226 	 hazai@szolgáltató
2229734-0821 	 gépkarabély
2229745-0821 	 fegyvercső
2229755-0821 	 forgó@tolózár
2229756-0821 	 zárfej
2229761-0821 	 zártest
2229766-0821, 1216, 6411 	 űrméret
2229786-0431, 0821 	 ütőszeg
2229804-0821 	 torkolat
2229866-0431, 3236 	 kiberbiztonság
2229927-1216, 24 	 narkodollár
2229960-4826 	 oktatói@kiterjesztés
2229971-0431, 1216 	 rendkívüli@kiadatás
2229976-1236, 7606 	 időszakos@egyetemes@emberi@jogi@helyzetértékelés
2230001-64 	 kutatószervezet
2230003-4821 	 integrált@európai@cselekvési@program@a@belvízi@szállítás@érdekében
2230064-4816, 5206, 76 	 Gépjárműipari@Beszállítók@Európai@Szövetsége
2230130-10, 12 	 Zöld@könyv@a@bűnüldöző@,@a@vám-@és@az@egyéb@biztonsági@hatóságok@munkájában@alkalmazott@felderítési@technológiákról
2230131-3606 	 szén@-@dioxid@-@leválasztás@és@-tárolás
2230145-5616 	 termesztési@környezet
2230146-1021, 6606 	 Globális@Energiahatékonysági@és@Megújulóenergia-alap
2230148-12 	 tevőleges@kötelezettség
2230159-10 	 hatáskör-átruházási@eljárás
2230166-0431, 7606 	 terrorizmus@elleni@globális@stratégia
2230252-10 	 írásbeli@véglegesítési@eljárás
2230267-52 	 széntároló
2230500-4811 	 módközi@szállítás
2230540-4031 	 Fúziós@Iktatási@Osztály
2230565-0806, 1016 	 tárgyalási@keret
2230568-5626, 6811 	 flubendiamid
2230631-0416 	 speciális@többség
2230633-0416 	 megerősített@többség
2230642-1011 	 Európai@Polgári@Igazságügyi@Térség
2230648-1021, 2811 	 a@harmadik@országok@állampolgárainak@beilleszkedését@segítő@európai@alap
2230714-1006, 4806, 4826 	 az@Európai@Repülésbiztonsági@Ügynökség@igazgatótanácsa
2230718-5206 	 jó@környezeti@állapot
2230775-2841 	 Sunna-műtét
2230819-4826 	 repülésszimulációs@oktatóeszköz
2230820-4826 	 repülésszimuláció-oktató
2230898-6411 	 záradék
2230900-12, 3236 	 e-jog
2230930-52 	 fix@összkvótás@kereskedési@rendszer
2230954-24 	 Polgári@Védelmi@Pénzügyi@Eszköz
2230975-16, 52, 66 	 karbonszegény@gazdaság
2231022-0811, 10, 1021 	 fejlesztési@együttműködési@és@gazdasági@együttműködési@eszköz
2231032-0806, 0811, 2021 	 Párizsi@Nyilatkozat@a@Segélyhatékonyságról
2231044-24, 2416 	 harmadik@szintű@bizottság
2231046-24, 2416 	 második@szintű@bizottság
2231072-6021 	 méznektár
2231086-66 	 fenntartható@energia
2231093-10, 1631 	 európai@statisztikairányítási@tanácsadó@testület
2231096-2441 	 visszakövetelési@mechanizmus
2231109-1016, 3236 	 SISone4ALL
2231116-2021, 5206 	 kereskedelmi@fenntarthatósági@hatásvizsgálat
2231117-6006 	 moszatok@fiatal@hajtása
2231131-0821 	 a@Legfőbb@Cél@kérdőíve
2231133-1016, 3206, 3231, 3611 	 európai@mesterszintű@fordítóképzés
2231153-0811, 7221 	 EU@–@Afrika@Infrastruktúraalap
2231203-2841, 5626, 60 	 takarmány-adalékanyagok@közösségi@nyilvántartása
2231208-1016, 66 	 az@EU@energiabiztonsági@kapcsolattartói@hálózata
2231219-52, 66, 6831 	 passzív@ház
2231229-1006 	 elnökségi@trió
2231236-2811, 3236, 3606 	 biometrikus@megfeleltetés
2231246-3606 	 lemezkenéses@módszer
2231257-10, 12 	 Zöld@Könyv@-@Az@ártatlanság@vélelme
2231289-52, 66 	 negajoule
2231290-52, 66, 6831 	 pozitív@energiamérlegű@épület
2231293-2846, 6606 	 Polgármesterek@Szövetsége
2231304-7226 	 szárazföldi@Kína
2231317-6021 	 kvótán@kívüli@cukor
2231328-6416 	 szerzői@jogdíj
2231393-5641, 76 	 Dél@-@csendes@-@óceáni@Regionális@Halászati@Gazdálkodási@Szervezet
2231396-0806, 1216, 2841, 7606 	 a@sportbeli@dopping@elleni@nemzetközi@egyezmény
2231445-3226, 3236 	 IPTV
2231447-3236, 64 	 többmagos@processszor
2231449-1006 	 előválogató@teszt
2231450-2836 	 gyermekneveléssel@töltött@időszak
2231454-2841 	 európai@közösségi@egészségügyi@mutatók
2231521-48, 4826 	 járatüzemeltetés
2231631-6626, 6831 	 passzív@szolár@fűtés
2231635-3226 	 spektrumpolitika
2231639-52 	 a@felszíni@víz@jó@állapota
2231640-52 	 a@felszíni@víz@jó@kémiai@állapota
2231641-52 	 a@felszín@alatti@víz@jó@kémiai@állapota
2231642-52 	 hasznosítható@felszín@alatti@vízkészlet
2231643-52 	 jó@mennyiségi@állapot
2231644-5206 	 közvetlen@bevezetés@a@felszín@alatti@vízbe
2231647-66, 6626 	 elosztott@energiaforrások
2231661-4406, 4411 	 színlelt@önálló@vállalkozó
2231700-6036 	 aprítás
2231891-5631 	 5@'@-nemkódoló@régió
2231893-3606 	 végpont@titrálás
2231942-2421 	 csendes@részesedés
2231969-5641 	 rögzített@állítóháló
2231970-5641 	 fenéken@rögzített@háló
2232017-04 	 létesítési@szerződés
2232029-0431, 1016 	 különleges@intervenciós@egység
2232038-0811, 7621 	 ellopott@és@elvesztett@úti@okmányokat@tartalmazó@adatbázis
2232044-2841 	 nagyivás
2232054-3231 	 tartalékeljárás
2232070-08 	 EU@–@Mexikó@Vegyes@Bizottság
2232077-0811, 1016, 2811 	 földközi-tengeri@partiőrség@hálózat
2232079-10, 1006 	 előretekintő@vélemény
2232080-1006 	 hatásvizsgálati@jelentés
2232081-10, 1006 	 felkérés
2232088-56, 6006 	 a@komló@tanúsítása
2232098-10, 1006 	 kötelező@konzultáció
2232099-10, 1006 	 fakultatív@konzultáció
2232100-10, 1006 	 nemzeti@delegáció
2232104-2841 	 Az@egészség@a@testi@,@szellemi@és@szociális@teljes@jólétnek@állapota@és@nemcsak@betegség@vagy@fogyatékosság@hiányából@áll@.
2232107-1006 	 a@Tanács@ülésterme
2232134-1016 	 a@polgárközeli@Európa@kialakítása/megteremtése/megvalósítása
2232141-2841 	 felegyenesedési@reflex
2232157-10, 1211, 4426 	 Zöld@könyv@–@A@munkajog@korszerűsítése@,@szembenézve@a@XXI.@század@kihívásaival
