84-1011 	 tagállami@hatáskör
1409845-2821, 2841, 52 	 életminőség
1410168-66 	 naphőenergia
1410402-3606, 52, 56 	 egyéves@növény
1410720-6616, 6811 	 katalitikus@reformálás
1410741-5206 	 környezeti@hatásvizsgálat
1411131-6821 	 egyenesen@arányos
1411184-2431, 5211 	 árvízkockázat
1411223-6621 	 radioaktív@anyag
1411240-2031, 52 	 ökocímke
1411340-6811 	 molibdén
1411342-6811 	 neon
1411349-5206, 6811 	 poliklórozott@bifenil
1411354-6811 	 radon
1411363-6811, 6826 	 toron
1411847-2841 	 bőrlézió
1412375-4816 	 stopvonal
1412440-3606 	 abszolút@magnitúdó
1412458-4826 	 zsilipkamra
1412466-6626, 6826 	 temperálás
1412478-3606 	 apasztron
1412499-3606 	 kisbolygóöv
1412526-3606 	 fekete@lyuk
1412552-4826 	 űrkabin
1412573-3606 	 ciszlunáris@űr
1412651-3606 	 fedési@kettőscsillag
1412657-4826, 6826 	 elektromos@meghajtás
1412700-3606 	 tűzgömb
1412718-3226 	 sugárzásinyaláb-térkép
1412719-3226 	 szolgáltató-felhasználó@kommunikációs@kapcsolat
1412755-3226, 4826 	 földi@szegmens
1412819-4826, 6821 	 ionhajtómű
1412837-4826 	 indítóállvány
1412845-3606 	 Lokális@Rendszer
1412871-6626, 6826 	 maximális@teljesítményű@munkapontkövetés
1412881-3606 	 meteorzápor
1412882-3606 	 meteorit
1412883-3606 	 meteoroid
1412892-3606 	 kisbolygó
1412906-3226, 4826 	 többugrásos@műholdas@link
1412935-3606, 4826 	 pályazsugorodás
1412953-3606 	 pc
1412981-3606, 6626 	 fotoszféra
1413015-6821 	 nyomás@alatt@tartás
1413019-3606 	 pulzár
1413056-4826 	 rover
1413071-3606 	 segédtükör
1413232-3606 	 fehér@törpe
1413420-6611 	 feketeszén
1413464-5206, 6816 	 porfogó
1413604-66 	 földgáztárolás
1413621-6811 	 nedves@mosás
1413693-6811 	 mészégető@kemence
1413704-6816 	 olvasztókemence
1413717-6816 	 tűzihorganyzás
1414180-6816, 6826 	 hegesztési@eljárás
1414414-6621 	 sugárforrástartó
1414576-6616 	 vízszintes@fúrás
1414626-6616 	 irányított@ferdefúrás
1414784-2416, 3236 	 internetes@bankolás
1414787-6626 	 bioenergia
1414797-2431 	 együttes@biztosítás
1414811-2426 	 keresztdevizás@csereügylet
1414842-2021, 24 	 közös@alap
1414843-24 	 hitelgarancia
1414854-10, 24 	 szabad@forgalom
1414864-1631, 2816, 2821 	 háztartás
1414895-0426 	 parlamenti@törvényjavaslat
1414897-6416, 68 	 ipari@kutatás
1414900-04, 12 	 népszavazás
1414919-0416 	 leadott@szavazatok
1414930-44 	 külföldre@kirendelt@munkavállaló
1414972-3606 	 hidrológiai@év
1415047-3606, 52 	 trópusi@ciklon
1415207-3606 	 liziméter
1415252-3606, 5206, 5216 	 villámárvíz
1415316-0436, 2431, 3606 	 árvízveszteség
1415332-3606, 5206, 5211 	 felszín@alatti@víz
1415435-3606, 5211 	 talajvíztükör
1415805-3606, 5621 	 termőképesség
1416001-6606 	 tőzeg
1416067-3606, 56 	 humuszos@,@glejes@talaj
1416123-2841, 66, 6831 	 ivó-@és@háztartási@víz
1417729-5621 	 fix@esőztető@berendezés
1417754-5621 	 osztócsatorna
1418188-6411, 6831 	 fúrólyukvizsgálat
1418436-5636, 6836 	 lombos@faanyag
1418575-6831 	 mintaállvány
1418652-3606, 6811, 6821 	 vákuumszivattyú
1418678-6821 	 dugattyú
1418775-6821, 6826 	 szolenoid@szelep
1418837-3606, 6821 	 interferométer
1418841-6821 	 mérőtorok
1418866-6811 	 hidrosztatikai@mérleg
1418880-6036, 6811 	 titán-dioxid
1418974-6811 	 megoszlási@hányados
1419190-3606 	 edafológia
1419476-5641 	 halászháló
1419477-5641 	 vonóháló
1419478-5641 	 dán@kerítőháló
1419479-5641 	 merevítőköteg
1419481-5641 	 erősítő@kötél
1419482-5641 	 szűrőháló
1419484-56, 5641 	 zsákkötél
1419486-5641 	 felső@kopásvédő
1419487-5641 	 alsó@kopásvédő
1419488-5641 	 legkisebb@szembőség
1419489-5641 	 belső@terelőháló
1419494-5641 	 hálómező
1419496-5641 	 erősítő@fűzőzsinór
1419499-5641 	 hosszabbító@elem
1419500-5641 	 felínemelő@lap
1419503-5641 	 körpánt
1419504-5641, 6411 	 hátsó@pánt
1419505-5641, 6816 	 emelőpánt
1419507-5641 	 légi@csapda
1419508-5641 	 karámos@halcsapda
1419509-5641 	 vejsze
1419512-5641 	 állított@zsebes@háló
1419515-5641 	 halászedény
1419516-5641 	 rögzített@felülről@nyitott@zsákháló
1419517-5641 	 rögzített@halcsapda
1419519-5641 	 kombinált@tükör-@és@kopoltyúháló
1419520-5641 	 tükörháló
1419521-5641 	 karókon@rögzített@kopoltyúháló
1419523-5641 	 lebegő@kopoltyúháló
1419524-5641 	 rögzített@kopoltyúháló
1419528-6821 	 felhajtóerő
1419531-5641 	 kopoltyúháló
1419534-5641 	 pendelyháló
1419535-5641 	 vetőhalászati@eszköz
1419536-5641 	 hálóbehúzó@csörlő
1419537-5641 	 partról@működtetett@,@rögzített@emelőháló
1419541-5641 	 hajóval@működtetett@emelőháló
1419542-5641 	 kézi@emelőháló
1419543-5641 	 halcsalétek
1419544-5641 	 emelőháló
1419545-5641 	 kézi@kotróháló
1419546-5641 	 ugródeszka
1419547-5641 	 hajóról@működtetett@kotróháló
1419549-5641 	 kotróháló
1419550-5641 	 feszítőlapos@ikervonóháló
1419552-5641 	 vízközi@páros@vonóháló
1419554-5641 	 vízközi@feszítőlapos@vonóháló
1419555-5641 	 hálóra@szerelt@mélységmérő
1419556-5641 	 feszítőlap
1419557-5641 	 merevítőrúd
1419558-5641 	 vízközi@vonóháló
1419559-5641 	 páros@fenékvonóháló
1419560-5641 	 feszítőlapos@vonóháló
1419562-5641 	 merevítőrudas@vonóhálók
1419565-5641 	 fenékvonóháló
1419567-5641 	 páros@vonóháló
1419569-5641 	 oldalvonóhálós@hajó
1419573-5641 	 kerítőháló-kötél
1419576-5641 	 hajóról@üzemeltetett@kerítőháló
1419577-5641 	 parti@kerítőháló
1419578-5641 	 kerítőháló
1419579-5641 	 halraj
1419581-5641 	 zsák
1419582-5641 	 összehúzó@kötél@nélküli@kerítőháló
1419583-5641 	 összehúzó@kötél
1419584-5641 	 erszényes@kerítőhálózás
1419585-5641 	 erszényes@kerítőháló
1419587-5641 	 felszíni@háló
1419588-5641 	 kerítőháló
1419595-5641 	 zsákvégerősítő@hálópanel
1419602-5641 	 vontatókötél-csiga
1419604-5641 	 vontatókötél
1419607-5641 	 vonóháló-akasztófa
1419613-5641 	 jelzőlobogó
1419614-5641 	 kantár
1419621-5641 	 alín
1419624-5641 	 vonóháló@alíngörgő
1419626-5641 	 főzsinór
1419629-5641 	 feszítőlap-rögzítőlánc
1419634-5641 	 zsákvégbehúzó@kötél
1419643-5641 	 eresztőhálós@halászat
1419644-5641 	 pergetett@horogsor
1419646-5641 	 szembőségmérő
1419649-5641 	 pergetett@horogsort@használó@hajó
1419650-5641 	 halászati@őrhajó
1419656-5641 	 pergetett@horogsorral@történő@halászat
1419658-5641 	 horogsor
1419661-5641 	 vonóhálócsörlő
1419662-5641 	 hálódob
1419663-4821, 5641 	 hálócsörlő
1419667-5641 	 halászeszköz
1419670-5641 	 méreten@aluli@hal
1419673-5641 	 kopásvédő
1419677-5641 	 vonóhálófej
1419683-5641 	 szák
1419684-5641 	 vörsök
1419687-5211, 5641 	 feszítőlapos@vonóháló
1419690-5641 	 mellékzsinór
1419695-5641 	 tintahalfogó@műcsali
1419702-5641 	 erszénygyűrű
1419713-5641 	 halászati@intenzitás
1419721-5641 	 nyomóháló
1419727-5641 	 páros@kerítőháló
1419737-5641 	 gépesített@kotróháló
1419742-5641 	 kopásvédő
1419749-5641 	 térköztartó
1419764-5641 	 hálómintázat
1419769-4821 	 kikötőkötél
1419800-5641 	 csomó@nélküli@léhés
1419802-3606, 5211, 5641, 6411, 6416 	 szonár
1419807-5641 	 merülési@arány
1419812-5641 	 háló-szakítószilárdság
1419823-4821, 5641 	 átrakodási@művelet
1419831-5641 	 automatikus@horogsor
1419832-5641 	 főzsinór
1419843-5641 	 halszivattyú
1419853-5641 	 ijesztőlánc
1419856-5641 	 próbaháló
1419857-5641 	 szelektív@vonóháló
1419981-3226, 6826 	 optikai@szál
1420011-3226, 6826 	 numerikus@apertúra
1420053-3606, 6826 	 impulzuslézer
1420214-3606 	 spektrális@irradiancia
1420442-2416 	 kihelyezési@díj
1420504-24 	 elszámolóház
1420512-2426 	 folyamatos@fedezet
1420520-24 	 elsőként@lejáró@határidős@tőzsdei@ügylet
1420527-1631, 2426 	 hozamgörbe
1420571-24 	 nyitott@pozíció
1420579-24, 4026 	 lehívási@árfolyam
1420596-2031, 2421 	 long@put@opció
1420615-24 	 transzferügynök
1420616-2426 	 portfóliókezelő
1420743-6816 	 kötött@karbon
1420765-3606, 6811 	 anizotróp
1420773-3606, 6411, 6816, 6821 	 alakíthatóság
1420882-6811, 6816 	 vas(II)-
1420896-2831, 6816 	 öntöttvas
1420900-6816 	 szürke@öntöttvas
1420910-6816 	 gömbgrafitos@öntöttvas
1420980-66, 6811 	 kötött@karbon
1421099-6811 	 katalizátor
1421113-6016 	 lenmagolaj
1421121-6816 	 cement
1421715-6806, 6816, 6821 	 automatikus@hegesztés
1422077-5206 	 nedvesmosó
1422087-5206 	 Venturi-mosó
1422095-3606, 52, 6411 	 hang
1422351-2036, 4031 	 kizárólagos@forgalmazó
1422423-2031 	 teljes@körű@tájékoztatás
1422572-16, 2021, 2426 	 megtérülés
1422759-6611 	 szénmedence
1423165-6826 	 elektrokémiai@pár
1423193-6811 	 szabad@sav
1423268-3606, 6811 	 fázishatár
1423303-6811 	 relatív@sűrűség
1423442-5621 	 komposzt
1423860-5636 	 gyérítés
1423958-6811 	 disszociáció
1423969-6811 	 redukálószer
1423978-6811 	 oxigén
1423979-6811 	 nitrogéngáz
1423982-6821, 6826 	 égéshő
1423988-6811 	 sztöchiometrikus@keverék
1423993-3606, 6411, 6821 	 levegőfelesleg-tényező
1424020-3606, 6821 	 lángfront
1424187-6616 	 palaolaj
1424195-6821 	 kenőolaj
1424236-6811 	 klatráthidrát
1424682-6811, 6826 	 fekete@cső
1424892-6811 	 tömegárammérő
1425078-6811, 6826 	 közvetett@tüzelésű@kemence
1425246-6821 	 gázüzemű@berendezés
1425399-6616 	 hidrogénes@finomítás
1425595-6816 	 ötvözött@acél
1425614-6816 	 ötvözetlen@acél
1425628-3606, 6411, 6816, 6821 	 képlékenység
1425637-6816 	 erősen@ötvözött@acél
1425655-6816 	 gyengén@ötvözött@acél
1425782-6811 	 laboratóriumi@minta
1425828-6411 	 minőségügyi@audit
1425942-6411 	 feszültségciklus
1426179-3606, 6611 	 fúrólyukszelvényezés
1426217-6411, 6821, 6826 	 bajonettzáras@tengelykapcsoló
1426230-68 	 bélelés
1426329-6811 	 emulgeálószer
1426330-2841, 6811 	 emulzió
1426358-5206, 6811 	 flokkulálás
1426402-6811 	 kicsapódás
1426434-6811 	 elágazó@láncú@polimer
1426535-6811 	 egyenes@láncú@polimer
1426547-3606, 6811 	 koaguláló@szer
1426551-5631, 6806, 6821 	 kolloidmalom
1426639-48 	 futásteljesítmény
1426745-6806 	 tépőszilárdság
1426813-4816 	 mintázat
1426826-5216, 6806 	 korom
1426837-2841, 6036, 6811 	 porlasztva@szárítás
1426916-3606, 48, 4816, 6806, 6821 	 peremmag
1426927-6811 	 öngyulladási@hőmérséklet
1427039-3606 	 aerob
1427041-3606 	 anaerob
1427049-5206 	 ártalmatlanítás
1427050-5206 	 hulladékgazdálkodás
1427054-5216 	 hulladéktárolás
1427066-5206, 5216 	 szennyvíziszap
1427077-3606, 52, 5206 	 hulladékkezelő@létesítmény
1427092-3606, 5206, 6811 	 biológiai@oxigénigény
1427112-5216 	 lerakás
1427115-6811 	 desztillálás
1427130-5206, 5216, 6606 	 energetikai@hasznosítás
1427132-52 	 eldobható@üvegpalack
1427138-5626 	 szilárd@trágya
1427143-5216 	 folyékony@hulladék
1427151-5206 	 hulladékégetés
1427152-5206 	 égetőmű
1427177-5631 	 szalma
1427180-5216 	 háztartási@hulladék
1427184-5206 	 hulladékgyűjtés
1427190-5206 	 inert@hulladék
1427197-3606, 66 	 égéshő
1427220-52 	 élelmiszer-hulladék
1427224-5216 	 mezőgazdasági@hulladék
1427247-3606 	 mezofil
1427261-6811 	 semlegesítés
1427274-6036 	 pasztörizálás
1427309-2021, 5206, 6411 	 másodnyersanyag
1427310-5216 	 veszélyes@hulladék
1427313-68 	 forgókemence
1427325-6816 	 aknáskemence
1427326-6811 	 ülepítés
1427336-52, 6816 	 fémhulladék-telep
1427347-52 	 iszapsűrítés
1427354-5206, 5626 	 zárt@rendszerű@komposztálás
1427369-5216 	 hulladékolaj
1427380-52 	 prizmás@komposztálás
1427398-5216, 6816 	 nehézfém
1427416-5216 	 légáramban@történő@szétválasztás
1427425-3606 	 oltás
1427430-5206 	 hasznosítás
1427432-52 	 szabadtéri@komposztálás
1427445-4821 	 kikötőbe@befut
1427588-2011, 4821 	 rendeltetési@kikötő
1428107-4821 	 nagy@sebességű@hajó
1428563-6411 	 tonna
1428935-4816, 6821 	 féktuskó
1429276-4821 	 hajóstiszti@átvételi@elismervény
1429390-2011, 4821 	 tengeri@vámügyi@tevékenység
1429794-12, 24 	 zálogkölcsön
1430206-6831 	 rostélyos@hűtő
1430604-2841 	 mentőszolgálat
1430607-2841 	 ampulla
1430682-2841, 3606 	 klinikai@biokémia
1430767-2841 	 életmentő@beavatkozás
1430768-2841 	 sürgősségi@részleg
1430824-2826, 2841, 3611 	 otthoni@ápolás-gondozás
1430848-2841 	 kórházhigiéne
1431008-2841 	 ergoterapeuta
1431026-2841 	 járóbeteg-szakellátás
1431071-2841 	 vény
1431130-2836 	 társadalombiztosítás
1431267-3606 	 fagocitózis
1431282-2841 	 xenogén
1431323-2841, 5631 	 hemagglutináció
1431424-2841 	 Peyer-plakk
1431617-2836, 3606 	 vírus@antigén
1431837-2841, 3606 	 kapszid
1431862-2841 	 thymus-eredetű@limfocita
1431863-2841 	 segítő@T-sejt
1431879-2841 	 szerokonverzió
1431882-2841, 5631 	 syncytium
1431888-2841, 3606 	 western@blot
1431892-3606 	 polimeráz@láncreakció
1431949-2841 	 tüdőtuberkulózis
1431957-2841 	 bakteriális@pneumónia
1431958-2841 	 Guillain@-@Barre@-@szindróma
1432044-2841 	 akut@limfoblasztos@leukémia
1432650-6811 	 ridegedés
1433427-6826 	 impulzusalak
1433475-3606, 6826 	 a@visszaverődés@szöge
1434462-3606, 4826 	 meteorológiai@megfigyelés
1434563-3606, 4826 	 meteorológiai@állomás
1434635-3606, 6411 	 feketegömb-érzékelő
1434666-3606, 4826, 6411 	 magasságmérő-beállítás
1434696-3226, 3606 	 rádiószonda
1434708-3606, 4826, 6411 	 transzmisszométer
1434752-3606 	 meteorológiai@információ
1434754-3606, 4826 	 SIGMET@tájékoztatás
1434787-3606, 4826 	 előrejelzési@térkép
1434929-3606, 4826 	 egyezményes@légkör
1435179-3606, 6626 	 valós@besugárzási@egyenleg
1435202-3606, 6626 	 visszavert@sugárzás
1435266-3606, 6626 	 nyomóerő
1435305-3606 	 szabvány@izobár@felület
1435323-3606 	 magaslégköri@térkép
1435369-3606, 5211 	 szárazföldi@szél
1435371-3606, 5211 	 tengeri@szél
1435376-3606, 5211 	 felszálló@szél
1435377-3606, 5211 	 monszunszél
1435395-3606, 5211 	 vertikális@szélprofil
1435396-3606, 5211 	 vízszintes@szélprofil
1435419-3606, 4826 	 leszálló@légáramlás
1435421-3606 	 meteor
1435554-3606, 4826 	 felhőalap
1435611-3606, 6831 	 térfogattömeg
1435654-6831 	 beltéri@légállapot
1435843-3606, 48, 4816 	 meteorológiai@iroda
1435916-3236 	 biztonsági@esemény
1436150-36 	 lineáris@egyenlet
1436171-3226 	 helyi@hurok
1436769-3236 	 szervíz@processzor
1436958-3236 	 adatgazdálkodás
1436990-3236 	 adatgazda
1436991-3236 	 adatmanipulálás
1437497-3236 	 grafikus@feldolgozóegység
1437530-2826, 3236 	 döntés
1439836-3236, 6826 	 pixel
1439856-3236, 6411 	 pozicionáló@gömb
1439857-3236, 6411 	 táblaszámítógép
1439930-3236, 4826, 6411 	 ciklikus@redundanciaellenőrzés
1440194-3226, 6826 	 koordinációs@távolság
1440262-3236, 6411 	 irodai@automatizálás
1440386-3236, 6411 	 digitalizáló
1440630-3236 	 operációs@rendszer
1440711-3236, 6411 	 alfanumerikus@adat
1440720-3236, 6411 	 értékes@számjegy
1440778-3236, 6411 	 lekérdezés
1440840-3236, 3606 	 sorszám
1440892-3236, 6411 	 léptéktényező
1441418-3236 	 átmeneti@tár
1441523-3236, 6411 	 mintafelismerés
1441586-3226, 3236 	 alkalmazási@réteg
1441587-3226, 3236 	 adatkapcsolati@réteg
1441607-3236, 6411 	 hálózati@réteg
1441612-3226, 3236 	 fizikai@réteg
1441613-3226, 3236 	 megjelenítési@réteg
1441616-3226, 3236 	 viszonyréteg
1441619-3226, 3236 	 szállítási@réteg
1441645-3226 	 csomagkapcsolás
1441658-3226 	 datagram
1441671-3236, 6411 	 légi@jármű@hálózati@végponti@berendezés
1441673-3236, 6411 	 felhasználói@végberendezés
1441933-3236, 6411 	 bit
1441963-3236 	 tárolóhely
1442377-6021 	 keverés
1442382-5631, 6021 	 térfogatszázalékban@kifejezett@alkoholtartalom
1442408-10, 6411 	 EK-megfelelőségi@tanúsítvány
1442422-0821, 1216 	 tűzfegyver
1442463-2841 	 orvostechnikai@eszköz
1442477-4816, 6821 	 motorkerékpár
1442491-6006, 6031 	 dohánytermék
1442492-6006 	 kátrány
1442493-2031, 6821 	 önjáró@munkagép
1442502-2031, 2831 	 műalkotás
1442522-5631 	 tenyésztésre@és@termelésre@szánt@lófélék
1442538-1231, 5206, 5606 	 növényútlevél
1442552-5216 	 gáz-halmazállapotú@szennyező@anyag
1442560-4816, 6821 	 indító@segédberendezés
1442596-10, 44 	 2003/88/EK@irányelv@a@munkaidő-szervezés@egyes@szempontjairól
1442597-16, 4011 	 kisvállalkozás
1442600-3606, 52 	 éghajlati@rendszer
1442602-10, 12, 48, 4816 	 beutazóvízum
1442611-4816, 6411 	 elsődleges@vonatkoztatási@pont
1442618-4816, 6821 	 törölt@terület
1442636-6826 	 félvezető@termék@topográfiája
1442644-3226, 3236 	 információtechnológia
1442646-2021, 6006, 6016, 6021 	 nemes@kakaó
1442669-4816 	 terepszög
1442696-2036, 4031 	 jogbérleti@szerződés
1442700-5631 	 hibrid@tenyészsertés
1442701-44 	 szabályozott@szakma
1442703-4411 	 szakmai@tapasztalat
1442709-2841 	 radiofarmakon
1442713-5216 	 települési@hulladék
1442722-56, 5631 	 borszőlőfajta
1442734-2421 	 bennfentes@információ
1442735-6811 	 analit
1442738-6811 	 érzékelési@határ
1442739-2841, 6811 	 erzékenység
1442743-2416 	 pénzügyi@vállalkozás
1442749-24 	 nem@banki@szektor
1442774-6411 	 szándékos@kibocsátás
1442779-10, 2826, 48 	 a@szervezett@utazási@formákról@szóló@irányelv
1442798-6411 	 mérleg
1442799-6411 	 nem@automatikus@működésű@mérleg
1442803-2841 	 aktív@beültethető@orvostechnikai@eszköz
1442804-2841 	 rendelésre@készült@eszköz
1442814-4826 	 közösségi@légi@fuvarozó
1442821-3226, 4806, 6606 	 közszolgáltatási@kötelezettség
1442829-6811 	 többszörösen@telítetlen@zsírsav
1442833-3226, 3236 	 nyilvános@hírközlő@hálózat
1442834-5631 	 naposcsibe
1442848-4816 	 első@utasülés
1442849-4816 	 övelőfeszítő@berendezés
1442876-5641 	 tenyésztett@víziállat
1442877-5641 	 akvakultúra-termék
1442882-6816 	 ón
1442884-48, 4816 	 felcsapódó@víz@elleni@védelem
1442888-4816 	 külső@sárvédő@perem
1442896-2846, 5216 	 települési@szennyvíz
1442897-5216 	 háztartási@szennyvíz
1442907-5631 	 csibe
1442911-5631 	 fiatal@liba
1442912-5631 	 lúd
1442919-5631 	 comb
1442952-5631, 6021, 6036 	 térfogatszázalékban@kifejezett@tényleges@alkoholtartalom
1442953-5631, 6021, 6036 	 térfogatszázalékban@kifejezett@potenciális@alkoholtartalom
1442954-5631, 6021, 6036 	 összes@alkoholtartalom@térfogatszázalékban
1442955-5631, 6021, 6036 	 térfogatszázalékban@kifejezett@természetes@alkoholtartalom
1442965-2841 	 helyes@gyártási@gyakorlat
1442968-1631, 4816 	 vállalkozó@vasúti@társaság
1443053-0821 	 félautomata@tűzfegyver
1443054-0821 	 ismétlő@tűzfegyver
1443060-2841, 5641 	 tengeri@biotoxin
1443063-5641 	 termelési@terület
1443064-5641 	 átmosó@terület
1443065-5641 	 feladó@központ
1443066-5641 	 tisztító@központ
1443067-5641 	 átmosás
1443070-5641 	 halászati@termék
1443075-1016, 2006, 5631 	 állategészségügyi@határállomás
1443076-3606 	 sertés
1443078-5631 	 szárazonálló@koca
1443079-5626 	 malac
1443081-5631 	 hízó
1443084-4816, 6821 	 kormányberendezés@kezelő@szerve
1443104-4816, 6826 	 egyfunkciós@lámpa
1443105-4816, 6826 	 elrejthető@lámpa
1443107-4816, 6826 	 oldalsó@helyzetjelző@lámpa
1443108-4816, 6826 	 fénykibocsátó@felület
1443110-4816, 6411 	 fényvisszaverő@prizma@világító@felülete
1443113-4816, 6826 	 geometriai@láthatóság@szögei
1443114-4816 	 legkülső@szél
1443116-4816, 6826 	 két@lámpa@közötti@távolság
1443118-48, 4816 	 mozgatható@rész@rendes@üzemi@helyzete
1443120-4816 	 jármű@álló@helyzete
1443141-24 	 vegyes@tevékenységű@holdingtársaság
1443159-2841 	 közvetlen@csomagolás
1443160-2841 	 külső@csomagolás
1443165-4811, 4816, 6411 	 menetkész@tömeg
1443189-5631 	 prebázis@szaporítóanyag
1443200-3226, 3236 	 bérelt@vonali@szolgáltatás
1443220-2841 	 gyógyszer
1443226-4816, 66 	 energiaforrás
1443231-4816 	 kormányzási@szög
1443244-4816 	 több@kerékre@ható@kormányberendezés
1443254-2846, 5206, 5636 	 közösségi@jelentőségű@természetes@élőhely
1443255-2846, 52, 5211, 56 	 elsődleges@fontosságú@természetes@élőhelytípus
1443256-5206, 5211 	 egy@természetes@élőhely@védettségi@helyzete
1443258-56 	 közösségi@jelentőségű@fajok
1443259-56 	 veszélyeztetett@faj
1443260-52, 5211, 56 	 egy@faj@védettségi@helyzete
1443278-1011, 4811, 4816, 6411 	 nem@teljes@jármű
1443280-4816, 6411 	 műszaki@szolgálat
1443289-2431 	 biztosító
1443303-4826 	 viteldíj
1443329-0806, 52, 6811 	 az@előzetes@tájékoztatáson@alapuló@jóváhagyási@eljárás@(@PIC@)@alá@tartozó@vegyi@anyagok
1443332-0806, 2841, 52, 6811 	 előzetes@tájékoztatáson@alapuló@jóváhagyás
1443337-56 	 tejalapú@termék
1443345-5211, 5631, 6011 	 vad
1443346-5631, 6011 	 nagyvad
1443347-5631 	 apróvad
1443368-10, 5641 	 uniós@halászhajó
1443369-10, 56, 5641 	 lehalászási@arány
1443375-2841 	 súlyos@fertőző@betegség
1443379-2841, 6011 	 méhészeti@termék
1443395-6616 	 gázolaj
1443396-4816, 6616 	 dízelüzemanyag
1443410-2011, 2021 	 ATA-igazolvány
1443412-2011, 4816 	 garanciavállaló@egyesület
1443423-2416, 2421, 2426, 4016 	 befektetési@vállalkozás
1443441-4816, 6821 	 visszajelző@lámpa
1443442-4816, 6821 	 kijelző
1443467-5631, 6006 	 összetett@takarmány
1443468-56 	 különleges@táplálkozási@célokra@szánt@takarmány
1443489-2446, 4816 	 úthasználati@díj
1443507-3606, 5211 	 biológiai@forrás
1443508-3606, 5211, 5626 	 genetikai@erőforrás
1443515-56, 5631 	 leölés
1443526-2031, 24 	 befagyasztott@betét
1443540-4816, 6821 	 vonórúdkapcsoló
1443541-4816, 6821 	 a@vontatórúd@szeme
1443543-4816, 6821 	 merev@vonórúd
1443545-4816, 6821 	 nyeregkapcsoló
1443546-4816, 6821 	 nyeregcsap
1443556-12, 44 	 közösségi@szintű@vállalkozás
1443557-1631, 4006 	 vállalkozáscsoport
1443558-12, 44 	 közösségi@szintű@vállalkozáscsoport
1443560-4426 	 európai@üzemi@tanács
1443562-4006 	 ellenőrző@vállalkozás
1443572-4821 	 olajszállító@tartályhajó
1443573-4821 	 kombinált@áruszállító@hajó
1443574-4821, 6811 	 vegyszerszállító@tartályhajó
1443579-3226, 4826 	 fekete@doboz
1443605-1216, 20, 6416 	 kalóz@áruk
1443609-5206, 5636 	 erdőgazdálkodás
1443611-2031, 5216, 6411 	 fogyasztói@csomagolás
1443612-2031, 5216, 6411 	 másodlagos@csomagolás
1443613-2031, 5216, 6411 	 szállítási@csomagolás
1443618-5206 	 szerves@újrafeldolgozás
1443632-6036, 6811 	 habzásgátló@szer
1443633-6036 	 tömegnövelő@szer
1443648-4816 	 menetvonal
1443667-12 	 az@öröklés@megnyílása
1443683-1226 	 Általános@Igazságszolgáltatási@Tanács
1443863-6626 	 abszorber@cső
1443950-6811 	 aktívszén-szűrő
1443998-3236 	 hibafa
1444000-6621 	 könnyűvizes@reaktor
1444515-5206 	 lúgos@mosás
1444617-00 	 szivárgásvizsgálat
1444835-52, 66 	 szén@-@dioxid@-@tárolás
1444868-6416, 6621 	 hideg@terület
1445780-3606 	 bomlási@sorozat
1445806-0821, 2841 	 fertőtlenítő-mentesítő@létesítmény
1446040-5216, 6621 	 kibocsátás
1446157-2841, 6621 	 dóziskorlát
1446460-6821 	 elektromágneses@leválasztás
1446470-66 	 hőátadó@közeg
1446477-68 	 cirkulációs@fluidágyas@kazán
1446913-3606, 6411 	 Reynolds-szám
1446995-2841, 3606 	 céltérfogat
1447050-2846, 6826 	 kiegészítő@szolgáltatás
1447117-4821, 5216 	 biológiai@lerakódás
1447118-52, 66 	 biogázeljárás
1447219-66 	 kapcsolt@energiatermelési@mutató
1447877-5206, 6606 	 hulladékból@előállított@üzemanyag
1447893-6811 	 lepárlás
1447911-3606, 4816, 6821 	 szekunder@levegő
1447971-6621, 6826 	 rendszerfrekvencia
1448141-6811 	 kicsapószer
1448162-6821 	 távirányítású
1448360-6821 	 ellennyomás
1449269-6616 	 lefúvatási@rendszer
1449300-6411, 6821 	 melegindítás
1449583-3236 	 köztesréteg
1449650-3236 	 megjelölés
1449818-3236 	 törzsállomány
1449914-3606, 6811 	 alanin
1449947-3606 	 autolízis
1449959-3606 	 fág
1450040-6821 	 centrifuga
1450063-6811 	 folyadékkromatográfia
1450129-52, 6811 	 kémiai@oxigénigény
1450188-5211, 5621 	 kiirtás
1450255-3606 	 generációs@idő
1450300-6811 	 hidroperoxid
1450307-5631 	 fertőzés
1450311-6811 	 el@nem@szappanosítható@anyag
1450366-2841 	 laktoferrin
1450479-6811 	 oligoszacharid
1450511-3606, 6811 	 foszfolipid
1450527-6811 	 polariméter
1450571-3606 	 reduktáz
1450640-2841, 3606 	 mikrobiális@törzs
1450714-5206, 6036, 6811 	 ultraszűrés
1450729-2841 	 virulencia
1450770-6811, 6816 	 akut@hatás
1451099-2841, 6036, 6811 	 őrlés
1451216-2841, 6036, 6811 	 mikronizálás
1451409-6811 	 méretkizárásos@kromatográfia
1451512-6811 	 viasz
1451786-6816, 6821 	 ászokcsavar
1452298-5631 	 a@szarvasmarha@genitális@campylobacteriosisa
1452299-5631 	 szarvasmarha-leukosis
1452300-5631 	 szarvasmarhák@fertőző@rhinotracheitise/fertőző@pustulás@vulvovaginitis
1452301-5631 	 kecske-@és@juhbrucellózis
1452302-5631 	 juhbrucellózis
1452303-3606, 5631 	 kecske@arthritis-encephalitis
